Time (s),EOG (V)
0.0,1.7701562878210098
0.001,1.7959533433895558
0.002,1.7998229017248377
0.003,1.788214226718992
0.004,1.7895040794974193
0.005,1.7895040794974193
0.006,1.7688664350425825
0.007,1.7727359933778644
0.008,1.7404896739171818
0.009000000000000001,1.7572577600367367
0.01,1.7533882017014548
0.011,1.7185621766839176
0.012,1.7314607044681907
0.013000000000000001,1.741779526695609
0.014,1.7353302628034726
0.015,1.749518643366173
0.016,1.7366201155818999
0.017,1.788214226718992
0.018000000000000002,1.7856345211621374
0.019,1.758547612815164
0.02,1.804982312838547
0.021,1.788214226718992
0.022,1.7830548156052828
0.023,1.7972431961679831
0.024,1.7869243739405647
0.025,1.7869243739405647
0.026000000000000002,1.7804751100484282
0.027,1.741779526695609
0.028,1.7740258461562917
0.029,1.7469389378093183
0.03,1.7366201155818999
0.031,1.7520983489230275
0.032,1.7366201155818999
0.033,1.7366201155818999
0.034,1.7430693794740364
0.035,1.7404896739171818
0.036000000000000004,1.771446140599437
0.037,1.7533882017014548
0.038,1.775315698934719
0.039,1.7998229017248377
0.04,1.7740258461562917
0.041,1.804982312838547
0.042,1.804982312838547
0.043000000000000003,1.7907939322758466
0.044,1.792083785054274
0.045,1.7856345211621374
0.046,1.775315698934719
0.047,1.7675765822641551
0.048,1.7366201155818999
0.049,1.7546780544798821
0.05,1.745649085030891
0.051000000000000004,1.7224317350191996
0.052000000000000005,1.7430693794740364
0.053,1.7430693794740364
0.054,1.7404896739171818
0.055,1.7533882017014548
0.056,1.7430693794740364
0.057,1.7778954044915736
0.058,1.775315698934719
0.059000000000000004,1.7766055517131463
0.06,1.8088518711738288
0.061,1.7791852572700009
0.062,1.7972431961679831
0.063,1.7972431961679831
0.064,1.7869243739405647
0.065,1.7830548156052828
0.066,1.771446140599437
0.067,1.7572577600367367
0.068,1.7727359933778644
0.069,1.7301708516897634
0.07,1.7520983489230275
0.07100000000000001,1.7469389378093183
0.07200000000000001,1.7263012933544815
0.073,1.7379099683603272
0.074,1.749518643366173
0.075,1.7482287905877456
0.076,1.7791852572700009
0.077,1.7353302628034726
0.078,1.792083785054274
0.079,1.788214226718992
0.08,1.7778954044915736
0.081,1.814011282287538
0.082,1.7998229017248377
0.083,1.7907939322758466
0.084,1.792083785054274
0.085,1.78434466838371
0.08600000000000001,1.78434466838371
0.08700000000000001,1.745649085030891
0.088,1.7482287905877456
0.089,1.7637070239288732
0.09,1.7263012933544815
0.091,1.7404896739171818
0.092,1.7379099683603272
0.093,1.7340404100250453
0.094,1.7379099683603272
0.095,1.7559679072583094
0.096,1.7559679072583094
0.097,1.78434466838371
0.098,1.7572577600367367
0.099,1.7946634906111285
0.1,1.801112754503265
0.101,1.7830548156052828
0.10200000000000001,1.7998229017248377
0.10300000000000001,1.7972431961679831
0.10400000000000001,1.78434466838371
0.105,1.7869243739405647
0.106,1.7546780544798821
0.107,1.7727359933778644
0.108,1.762417171150446
0.109,1.728880998911336
0.11,1.7559679072583094
0.111,1.7250114405760542
0.112,1.728880998911336
0.113,1.7469389378093183
0.114,1.745649085030891
0.115,1.749518643366173
0.116,1.7637070239288732
0.117,1.7649968767073005
0.11800000000000001,1.7933736378327012
0.11900000000000001,1.7727359933778644
0.12,1.7959533433895558
0.121,1.8062721656169742
0.122,1.801112754503265
0.123,1.7907939322758466
0.124,1.7907939322758466
0.125,1.7778954044915736
0.126,1.7895040794974193
0.127,1.7379099683603272
0.128,1.7662867294857278
0.129,1.7572577600367367
0.13,1.7275911461329088
0.131,1.7546780544798821
0.132,1.7391998211387545
0.133,1.7379099683603272
0.134,1.7469389378093183
0.135,1.7443592322524637
0.136,1.775315698934719
0.137,1.775315698934719
0.138,1.7649968767073005
0.139,1.801112754503265
0.14,1.775315698934719
0.14100000000000001,1.7946634906111285
0.14200000000000002,1.801112754503265
0.14300000000000002,1.788214226718992
0.14400000000000002,1.7895040794974193
0.145,1.78434466838371
0.146,1.7611273183720186
0.147,1.775315698934719
0.148,1.7404896739171818
0.149,1.7482287905877456
0.15,1.7508084961446002
0.151,1.7185621766839176
0.152,1.7379099683603272
0.153,1.7430693794740364
0.154,1.7353302628034726
0.155,1.749518643366173
0.156,1.7443592322524637
0.157,1.7869243739405647
0.158,1.7830548156052828
0.159,1.7675765822641551
0.16,1.8075620183954015
0.161,1.7830548156052828
0.162,1.7933736378327012
0.163,1.7972431961679831
0.164,1.7895040794974193
0.165,1.7804751100484282
0.166,1.7778954044915736
0.167,1.7482287905877456
0.168,1.7688664350425825
0.169,1.749518643366173
0.17,1.7391998211387545
0.171,1.7559679072583094
0.17200000000000001,1.7301708516897634
0.17300000000000001,1.7391998211387545
0.17400000000000002,1.745649085030891
0.17500000000000002,1.7430693794740364
0.176,1.7804751100484282
0.177,1.7533882017014548
0.178,1.7830548156052828
0.179,1.804982312838547
0.18,1.771446140599437
0.181,1.8062721656169742
0.182,1.7985330489464104
0.183,1.7895040794974193
0.184,1.7907939322758466
0.185,1.7830548156052828
0.186,1.7740258461562917
0.187,1.7727359933778644
0.188,1.7275911461329088
0.189,1.7520983489230275
0.19,1.7379099683603272
0.191,1.7301708516897634
0.192,1.7340404100250453
0.193,1.7404896739171818
0.194,1.7443592322524637
0.195,1.7598374655935913
0.196,1.7508084961446002
0.197,1.7778954044915736
0.198,1.7662867294857278
0.199,1.7778954044915736
0.2,1.8036924600601196
0.201,1.775315698934719
0.202,1.7972431961679831
0.203,1.7946634906111285
0.20400000000000001,1.7856345211621374
0.20500000000000002,1.78434466838371
0.20600000000000002,1.7572577600367367
0.20700000000000002,1.7598374655935913
0.20800000000000002,1.771446140599437
0.209,1.7263012933544815
0.21,1.7533882017014548
0.211,1.7533882017014548
0.212,1.728880998911336
0.213,1.7404896739171818
0.214,1.7508084961446002
0.215,1.7508084961446002
0.216,1.7817649628268555
0.217,1.7508084961446002
0.218,1.792083785054274
0.219,1.792083785054274
0.22,1.775315698934719
0.221,1.7907939322758466
0.222,1.7959533433895558
0.223,1.7830548156052828
0.224,1.7907939322758466
0.225,1.7804751100484282
0.226,1.7791852572700009
0.227,1.7637070239288732
0.228,1.7404896739171818
0.229,1.7637070239288732
0.23,1.7263012933544815
0.231,1.7391998211387545
0.232,1.7404896739171818
0.233,1.7366201155818999
0.234,1.7443592322524637
0.23500000000000001,1.7546780544798821
0.23600000000000002,1.7520983489230275
0.23700000000000002,1.7907939322758466
0.23800000000000002,1.7649968767073005
0.23900000000000002,1.788214226718992
0.24,1.8114315767306834
0.241,1.788214226718992
0.242,1.7985330489464104
0.243,1.7959533433895558
0.244,1.7856345211621374
0.245,1.7740258461562917
0.246,1.7572577600367367
0.247,1.758547612815164
0.248,1.762417171150446
0.249,1.7237215877976269
0.25,1.7533882017014548
0.251,1.741779526695609
0.252,1.732750557246618
0.253,1.7353302628034726
0.254,1.7482287905877456
0.255,1.7598374655935913
0.256,1.7778954044915736
0.257,1.749518643366173
0.258,1.7933736378327012
0.259,1.78434466838371
0.26,1.7830548156052828
0.261,1.801112754503265
0.262,1.801112754503265
0.263,1.7907939322758466
0.264,1.792083785054274
0.265,1.7791852572700009
0.266,1.7817649628268555
0.267,1.7559679072583094
0.268,1.741779526695609
0.269,1.762417171150446
0.27,1.7263012933544815
0.271,1.7314607044681907
0.272,1.7508084961446002
0.273,1.7391998211387545
0.274,1.7443592322524637
0.275,1.7469389378093183
0.276,1.7598374655935913
0.277,1.7933736378327012
0.278,1.7637070239288732
0.279,1.7946634906111285
0.28,1.801112754503265
0.281,1.792083785054274
0.28200000000000003,1.7946634906111285
0.28300000000000003,1.7946634906111285
0.28400000000000003,1.7856345211621374
0.28500000000000003,1.7804751100484282
0.28600000000000003,1.7508084961446002
0.28700000000000003,1.7701562878210098
0.28800000000000003,1.7559679072583094
0.289,1.7263012933544815
0.29,1.7546780544798821
0.291,1.7391998211387545
0.292,1.7340404100250453
0.293,1.7430693794740364
0.294,1.741779526695609
0.295,1.7662867294857278
0.296,1.7701562878210098
0.297,1.7559679072583094
0.298,1.7998229017248377
0.299,1.7766055517131463
0.3,1.7907939322758466
0.301,1.7946634906111285
0.302,1.7946634906111285
0.303,1.7907939322758466
0.304,1.788214226718992
0.305,1.7649968767073005
0.306,1.78434466838371
0.307,1.745649085030891
0.308,1.7520983489230275
0.309,1.7598374655935913
0.31,1.7224317350191996
0.311,1.7353302628034726
0.312,1.7379099683603272
0.313,1.7301708516897634
0.314,1.7443592322524637
0.315,1.7443592322524637
0.316,1.7637070239288732
0.317,1.788214226718992
0.318,1.7520983489230275
0.319,1.8024026072816923
0.32,1.7946634906111285
0.321,1.7869243739405647
0.322,1.7907939322758466
0.323,1.7933736378327012
0.324,1.7869243739405647
0.325,1.7933736378327012
0.326,1.7469389378093183
0.327,1.7675765822641551
0.328,1.7520983489230275
0.329,1.7275911461329088
0.33,1.7559679072583094
0.331,1.7366201155818999
0.332,1.7366201155818999
0.333,1.7469389378093183
0.334,1.741779526695609
0.335,1.7766055517131463
0.336,1.7649968767073005
0.337,1.7688664350425825
0.338,1.7985330489464104
0.339,1.771446140599437
0.34,1.7985330489464104
0.341,1.7933736378327012
0.342,1.7907939322758466
0.343,1.7933736378327012
0.34400000000000003,1.788214226718992
0.34500000000000003,1.7701562878210098
0.34600000000000003,1.7869243739405647
0.34700000000000003,1.7443592322524637
0.34800000000000003,1.7520983489230275
0.34900000000000003,1.7533882017014548
0.35000000000000003,1.7185621766839176
0.35100000000000003,1.7301708516897634
0.352,1.7430693794740364
0.353,1.7353302628034726
0.354,1.749518643366173
0.355,1.7404896739171818
0.356,1.7675765822641551
0.357,1.7791852572700009
0.358,1.7675765822641551
0.359,1.8036924600601196
0.36,1.7869243739405647
0.361,1.7933736378327012
0.362,1.7985330489464104
0.363,1.7946634906111285
0.364,1.7895040794974193
0.365,1.7830548156052828
0.366,1.7559679072583094
0.367,1.7727359933778644
0.368,1.7430693794740364
0.369,1.7404896739171818
0.37,1.7546780544798821
0.371,1.7340404100250453
0.372,1.7379099683603272
0.373,1.7469389378093183
0.374,1.741779526695609
0.375,1.7778954044915736
0.376,1.7546780544798821
0.377,1.7740258461562917
0.378,1.7985330489464104
0.379,1.7688664350425825
0.38,1.8062721656169742
0.381,1.7998229017248377
0.382,1.788214226718992
0.383,1.7933736378327012
0.384,1.7869243739405647
0.385,1.7766055517131463
0.386,1.7830548156052828
0.387,1.7379099683603272
0.388,1.7649968767073005
0.389,1.749518643366173
0.39,1.7211418822407722
0.391,1.7404896739171818
0.392,1.7379099683603272
0.393,1.7430693794740364
0.394,1.7508084961446002
0.395,1.7366201155818999
0.396,1.7804751100484282
0.397,1.7740258461562917
0.398,1.771446140599437
0.399,1.8036924600601196
0.4,1.7830548156052828
0.401,1.7972431961679831
0.402,1.7985330489464104
0.403,1.7895040794974193
0.404,1.788214226718992
0.405,1.7727359933778644
0.406,1.7598374655935913
0.40700000000000003,1.7766055517131463
0.40800000000000003,1.7340404100250453
0.40900000000000003,1.7508084961446002
0.41000000000000003,1.7508084961446002
0.41100000000000003,1.7340404100250453
0.41200000000000003,1.7404896739171818
0.41300000000000003,1.7469389378093183
0.41400000000000003,1.741779526695609
0.41500000000000004,1.7766055517131463
0.41600000000000004,1.7533882017014548
0.417,1.78434466838371
0.418,1.7959533433895558
0.419,1.7727359933778644
0.42,1.8075620183954015
0.421,1.7985330489464104
0.422,1.7895040794974193
0.423,1.7946634906111285
0.424,1.78434466838371
0.425,1.7869243739405647
0.426,1.7688664350425825
0.427,1.7391998211387545
0.428,1.7611273183720186
0.429,1.732750557246618
0.43,1.7391998211387545
0.431,1.741779526695609
0.432,1.7353302628034726
0.433,1.7404896739171818
0.434,1.7572577600367367
0.435,1.7520983489230275
0.436,1.7985330489464104
0.437,1.7611273183720186
0.438,1.788214226718992
0.439,1.804982312838547
0.44,1.771446140599437
0.441,1.7946634906111285
0.442,1.7946634906111285
0.443,1.78434466838371
0.444,1.78434466838371
0.445,1.7572577600367367
0.446,1.7404896739171818
0.447,1.7662867294857278
0.448,1.7340404100250453
0.449,1.7508084961446002
0.45,1.732750557246618
0.451,1.7353302628034726
0.452,1.7391998211387545
0.453,1.7404896739171818
0.454,1.749518643366173
0.455,1.771446140599437
0.456,1.758547612815164
0.457,1.792083785054274
0.458,1.7791852572700009
0.459,1.7856345211621374
0.46,1.8101417239522561
0.461,1.7972431961679831
0.462,1.7946634906111285
0.463,1.7959533433895558
0.464,1.7817649628268555
0.465,1.788214226718992
0.466,1.758547612815164
0.467,1.7559679072583094
0.468,1.7637070239288732
0.46900000000000003,1.7250114405760542
0.47000000000000003,1.745649085030891
0.47100000000000003,1.7391998211387545
0.47200000000000003,1.7340404100250453
0.47300000000000003,1.7379099683603272
0.47400000000000003,1.7546780544798821
0.47500000000000003,1.7662867294857278
0.47600000000000003,1.801112754503265
0.47700000000000004,1.7572577600367367
0.47800000000000004,1.7972431961679831
0.47900000000000004,1.788214226718992
0.48,1.7817649628268555
0.481,1.7907939322758466
0.482,1.7972431961679831
0.483,1.7895040794974193
0.484,1.78434466838371
0.485,1.7546780544798821
0.486,1.7662867294857278
0.487,1.7533882017014548
0.488,1.7430693794740364
0.489,1.7611273183720186
0.49,1.7237215877976269
0.491,1.7404896739171818
0.492,1.741779526695609
0.493,1.741779526695609
0.494,1.7469389378093183
0.495,1.7546780544798821
0.496,1.7688664350425825
0.497,1.792083785054274
0.498,1.7649968767073005
0.499,1.7985330489464104
0.5,1.801112754503265
0.501,1.7946634906111285
0.502,1.7972431961679831
0.503,1.7869243739405647
0.504,1.7778954044915736
0.505,1.788214226718992
0.506,1.7430693794740364
0.507,1.7611273183720186
0.508,1.758547612815164
0.509,1.7275911461329088
0.51,1.7508084961446002
0.511,1.7430693794740364
0.512,1.7379099683603272
0.513,1.7482287905877456
0.514,1.7508084961446002
0.515,1.7778954044915736
0.516,1.7611273183720186
0.517,1.7701562878210098
0.518,1.8024026072816923
0.519,1.7830548156052828
0.52,1.7946634906111285
0.521,1.7972431961679831
0.522,1.792083785054274
0.523,1.7985330489464104
0.524,1.78434466838371
0.525,1.7611273183720186
0.526,1.7727359933778644
0.527,1.7469389378093183
0.528,1.7443592322524637
0.529,1.7559679072583094
0.53,1.7224317350191996
0.531,1.7340404100250453
0.532,1.7482287905877456
0.533,1.732750557246618
0.534,1.749518643366173
0.535,1.745649085030891
0.536,1.78434466838371
0.537,1.7856345211621374
0.538,1.7675765822641551
0.539,1.804982312838547
0.54,1.7895040794974193
0.541,1.792083785054274
0.542,1.7946634906111285
0.543,1.7895040794974193
0.544,1.7830548156052828
0.545,1.7766055517131463
0.546,1.7430693794740364
0.547,1.7688664350425825
0.548,1.7391998211387545
0.549,1.7404896739171818
0.55,1.7559679072583094
0.551,1.732750557246618
0.552,1.7404896739171818
0.553,1.7508084961446002
0.554,1.7469389378093183
0.555,1.7791852572700009
0.556,1.7559679072583094
0.557,1.788214226718992
0.558,1.801112754503265
0.559,1.7766055517131463
0.56,1.8101417239522561
0.561,1.8024026072816923
0.562,1.792083785054274
0.5630000000000001,1.7907939322758466
0.5640000000000001,1.7817649628268555
0.5650000000000001,1.775315698934719
0.5660000000000001,1.7727359933778644
0.5670000000000001,1.7314607044681907
0.5680000000000001,1.7598374655935913
0.5690000000000001,1.7366201155818999
0.5700000000000001,1.7366201155818999
0.5710000000000001,1.741779526695609
0.5720000000000001,1.7379099683603272
0.5730000000000001,1.7443592322524637
0.5740000000000001,1.7559679072583094
0.5750000000000001,1.7482287905877456
0.5760000000000001,1.775315698934719
0.577,1.7701562878210098
0.578,1.7856345211621374
