Time (s),EOG (V)
0.0,1.7675765822641551
0.001,1.7766055517131463
0.002,1.8036924600601196
0.003,1.7959533433895558
0.004,1.8062721656169742
0.005,1.804982312838547
0.006,1.8024026072816923
0.007,1.7907939322758466
0.008,1.7856345211621374
0.009000000000000001,1.762417171150446
0.01,1.7637070239288732
0.011,1.7649968767073005
0.012,1.7301708516897634
0.013000000000000001,1.7404896739171818
0.014,1.7391998211387545
0.015,1.728880998911336
0.016,1.7379099683603272
0.017,1.745649085030891
0.018000000000000002,1.7443592322524637
0.019,1.7675765822641551
0.02,1.7791852572700009
0.021,1.7727359933778644
0.022,1.7998229017248377
0.023,1.8024026072816923
0.024,1.7998229017248377
0.025,1.8075620183954015
0.026000000000000002,1.8024026072816923
0.027,1.792083785054274
0.028,1.7959533433895558
0.029,1.7662867294857278
0.03,1.7559679072583094
0.031,1.758547612815164
0.032,1.7301708516897634
0.033,1.732750557246618
0.034,1.732750557246618
0.035,1.7275911461329088
0.036000000000000004,1.7379099683603272
0.037,1.7430693794740364
0.038,1.741779526695609
0.039,1.7688664350425825
0.04,1.7856345211621374
0.041,1.771446140599437
0.042,1.7998229017248377
0.043000000000000003,1.8101417239522561
0.044,1.801112754503265
0.045,1.8036924600601196
0.046,1.8036924600601196
0.047,1.7869243739405647
0.048,1.7869243739405647
0.049,1.7688664350425825
0.05,1.7443592322524637
0.051000000000000004,1.758547612815164
0.052000000000000005,1.7379099683603272
0.053,1.7263012933544815
0.054,1.7275911461329088
0.055,1.7366201155818999
0.056,1.7340404100250453
0.057,1.745649085030891
0.058,1.7430693794740364
0.059000000000000004,1.775315698934719
0.06,1.7856345211621374
0.061,1.7701562878210098
0.062,1.7972431961679831
0.063,1.8101417239522561
0.064,1.801112754503265
0.065,1.801112754503265
0.066,1.7985330489464104
0.067,1.7895040794974193
0.068,1.78434466838371
0.069,1.771446140599437
0.07,1.7482287905877456
0.07100000000000001,1.7572577600367367
0.07200000000000001,1.7353302628034726
0.073,1.7250114405760542
0.074,1.7314607044681907
0.075,1.7353302628034726
0.076,1.7379099683603272
0.077,1.745649085030891
0.078,1.741779526695609
0.079,1.7675765822641551
0.08,1.7895040794974193
0.081,1.7766055517131463
0.082,1.801112754503265
0.083,1.8088518711738288
0.084,1.8062721656169742
0.085,1.8024026072816923
0.08600000000000001,1.801112754503265
