Time (s),EOG (V)
0.0,1.7766055517131463
0.001,1.8062721656169742
0.002,1.804982312838547
0.003,1.8062721656169742
0.004,1.8127214295091107
0.005,1.8114315767306834
0.006,1.804982312838547
0.007,1.7998229017248377
0.008,1.7817649628268555
0.009000000000000001,1.7830548156052828
0.01,1.775315698934719
0.011,1.7443592322524637
0.012,1.749518643366173
0.013000000000000001,1.7469389378093183
0.014,1.7366201155818999
0.015,1.7340404100250453
0.016,1.7520983489230275
0.017,1.7520983489230275
0.018000000000000002,1.7727359933778644
0.019,1.7662867294857278
0.02,1.7791852572700009
0.021,1.8088518711738288
0.022,1.7998229017248377
0.023,1.8075620183954015
0.024,1.814011282287538
0.025,1.8127214295091107
0.026000000000000002,1.804982312838547
0.027,1.7998229017248377
0.028,1.7766055517131463
0.029,1.7804751100484282
0.03,1.7701562878210098
0.031,1.745649085030891
0.032,1.7508084961446002
0.033,1.7443592322524637
0.034,1.7340404100250453
0.035,1.7443592322524637
0.036000000000000004,1.7520983489230275
0.037,1.749518643366173
0.038,1.7727359933778644
0.039,1.7688664350425825
0.04,1.788214226718992
0.041,1.8101417239522561
0.042,1.7972431961679831
0.043000000000000003,1.8114315767306834
0.044,1.8153011350659654
0.045,1.8101417239522561
0.046,1.801112754503265
0.047,1.7959533433895558
0.048,1.771446140599437
0.049,1.7804751100484282
0.05,1.7701562878210098
0.051000000000000004,1.7366201155818999
0.052000000000000005,1.7520983489230275
0.053,1.741779526695609
0.054,1.7340404100250453
0.055,1.741779526695609
0.056,1.749518643366173
0.057,1.7508084961446002
0.058,1.7778954044915736
0.059000000000000004,1.7688664350425825
0.06,1.7869243739405647
0.061,1.8114315767306834
0.062,1.792083785054274
0.063,1.8114315767306834
0.064,1.8114315767306834
0.065,1.8088518711738288
0.066,1.804982312838547
0.067,1.7972431961679831
0.068,1.7688664350425825
0.069,1.7778954044915736
0.07,1.7637070239288732
0.07100000000000001,1.7391998211387545
0.07200000000000001,1.7520983489230275
0.073,1.7430693794740364
0.074,1.7340404100250453
0.075,1.7404896739171818
0.076,1.7533882017014548
0.077,1.7533882017014548
0.078,1.7778954044915736
0.079,1.7688664350425825
0.08,1.78434466838371
0.081,1.8114315767306834
0.082,1.7972431961679831
0.083,1.8101417239522561
0.084,1.814011282287538
0.085,1.8114315767306834
0.08600000000000001,1.7985330489464104
0.08700000000000001,1.7998229017248377
0.088,1.7675765822641551
0.089,1.775315698934719
0.09,1.7662867294857278
0.091,1.7379099683603272
0.092,1.7482287905877456
0.093,1.7469389378093183
0.094,1.7340404100250453
0.095,1.7404896739171818
0.096,1.7520983489230275
0.097,1.7520983489230275
0.098,1.7778954044915736
0.099,1.7701562878210098
0.1,1.7830548156052828
0.101,1.8114315767306834
0.10200000000000001,1.7985330489464104
0.10300000000000001,1.8088518711738288
0.10400000000000001,1.8114315767306834
0.105,1.8075620183954015
0.106,1.801112754503265
0.107,1.7998229017248377
0.108,1.7701562878210098
0.109,1.7727359933778644
0.11,1.7649968767073005
0.111,1.7391998211387545
0.112,1.745649085030891
0.113,1.7430693794740364
0.114,1.7301708516897634
0.115,1.741779526695609
0.116,1.7533882017014548
0.117,1.7533882017014548
0.11800000000000001,1.7791852572700009
0.11900000000000001,1.775315698934719
0.12,1.788214226718992
0.121,1.8114315767306834
0.122,1.8036924600601196
0.123,1.8062721656169742
0.124,1.8127214295091107
0.125,1.8036924600601196
0.126,1.7959533433895558
0.127,1.7959533433895558
0.128,1.7675765822641551
0.129,1.7740258461562917
0.13,1.762417171150446
0.131,1.7391998211387545
0.132,1.7443592322524637
0.133,1.7340404100250453
0.134,1.7353302628034726
0.135,1.741779526695609
0.136,1.7559679072583094
0.137,1.7546780544798821
0.138,1.771446140599437
0.139,1.7740258461562917
0.14,1.7907939322758466
0.14100000000000001,1.8114315767306834
0.14200000000000002,1.7998229017248377
0.14300000000000002,1.8088518711738288
0.14400000000000002,1.814011282287538
0.145,1.8062721656169742
0.146,1.792083785054274
0.147,1.7933736378327012
0.148,1.7688664350425825
0.149,1.7727359933778644
0.15,1.758547612815164
0.151,1.7340404100250453
0.152,1.7404896739171818
0.153,1.7404896739171818
0.154,1.7353302628034726
0.155,1.7430693794740364
0.156,1.7572577600367367
0.157,1.758547612815164
0.158,1.7817649628268555
0.159,1.771446140599437
0.16,1.7946634906111285
0.161,1.8127214295091107
0.162,1.8024026072816923
0.163,1.814011282287538
0.164,1.8088518711738288
0.165,1.801112754503265
0.166,1.7972431961679831
0.167,1.792083785054274
0.168,1.7637070239288732
0.169,1.7701562878210098
0.17,1.7546780544798821
0.171,1.7314607044681907
0.17200000000000001,1.745649085030891
0.17300000000000001,1.7404896739171818
0.17400000000000002,1.7366201155818999
0.17500000000000002,1.7404896739171818
0.176,1.7546780544798821
0.177,1.758547612815164
0.178,1.7804751100484282
0.179,1.775315698934719
0.18,1.7907939322758466
0.181,1.8127214295091107
0.182,1.7972431961679831
0.183,1.8114315767306834
0.184,1.8075620183954015
0.185,1.801112754503265
0.186,1.7933736378327012
0.187,1.792083785054274
0.188,1.7572577600367367
0.189,1.771446140599437
0.19,1.7637070239288732
0.191,1.732750557246618
0.192,1.7391998211387545
0.193,1.741779526695609
0.194,1.7301708516897634
0.195,1.7430693794740364
0.196,1.749518643366173
0.197,1.7598374655935913
0.198,1.7856345211621374
0.199,1.7740258461562917
0.2,1.792083785054274
0.201,1.8165909878443927
0.202,1.8075620183954015
0.203,1.8114315767306834
0.20400000000000001,1.8088518711738288
0.20500000000000002,1.7998229017248377
0.20600000000000002,1.7933736378327012
0.20700000000000002,1.7895040794974193
0.20800000000000002,1.7572577600367367
0.209,1.762417171150446
0.21,1.758547612815164
0.211,1.728880998911336
0.212,1.7340404100250453
0.213,1.7404896739171818
0.214,1.7340404100250453
0.215,1.7430693794740364
0.216,1.7533882017014548
0.217,1.7572577600367367
0.218,1.7817649628268555
0.219,1.7804751100484282
0.22,1.7946634906111285
0.221,1.81788084062282
0.222,1.814011282287538
0.223,1.8101417239522561
0.224,1.8114315767306834
0.225,1.801112754503265
0.226,1.7907939322758466
0.227,1.7907939322758466
0.228,1.7598374655935913
0.229,1.762417171150446
0.23,1.7520983489230275
0.231,1.7314607044681907
0.232,1.732750557246618
0.233,1.741779526695609
0.234,1.7353302628034726
0.23500000000000001,1.7469389378093183
0.23600000000000002,1.7546780544798821
0.23700000000000002,1.7598374655935913
0.23800000000000002,1.7856345211621374
0.23900000000000002,1.7856345211621374
0.24,1.7946634906111285
0.241,1.8165909878443927
0.242,1.8153011350659654
0.243,1.8101417239522561
0.244,1.8101417239522561
0.245,1.7972431961679831
0.246,1.7959533433895558
0.247,1.7856345211621374
0.248,1.762417171150446
0.249,1.762417171150446
0.25,1.7520983489230275
0.251,1.7340404100250453
0.252,1.7391998211387545
0.253,1.7430693794740364
0.254,1.7353302628034726
0.255,1.7469389378093183
0.256,1.7520983489230275
0.257,1.7637070239288732
0.258,1.7830548156052828
0.259,1.7817649628268555
0.26,1.7998229017248377
0.261,1.8165909878443927
0.262,1.8127214295091107
0.263,1.8127214295091107
0.264,1.8075620183954015
0.265,1.7972431961679831
0.266,1.7895040794974193
0.267,1.7804751100484282
0.268,1.7572577600367367
0.269,1.7611273183720186
0.27,1.749518643366173
0.271,1.7301708516897634
0.272,1.7366201155818999
0.273,1.7404896739171818
0.274,1.7379099683603272
0.275,1.7482287905877456
0.276,1.7546780544798821
0.277,1.7637070239288732
0.278,1.7895040794974193
0.279,1.78434466838371
0.28,1.7959533433895558
0.281,1.8204605461796746
0.28200000000000003,1.8114315767306834
0.28300000000000003,1.8114315767306834
0.28400000000000003,1.8062721656169742
0.28500000000000003,1.7985330489464104
0.28600000000000003,1.7895040794974193
0.28700000000000003,1.7907939322758466
0.28800000000000003,1.7520983489230275
0.289,1.7611273183720186
0.29,1.7533882017014548
0.291,1.7275911461329088
0.292,1.732750557246618
0.293,1.741779526695609
0.294,1.7379099683603272
0.295,1.7482287905877456
0.296,1.7611273183720186
0.297,1.7688664350425825
0.298,1.792083785054274
0.299,1.7869243739405647
0.3,1.7959533433895558
0.301,1.814011282287538
0.302,1.8114315767306834
0.303,1.8075620183954015
0.304,1.8075620183954015
0.305,1.7972431961679831
0.306,1.7856345211621374
0.307,1.7895040794974193
0.308,1.7546780544798821
0.309,1.7520983489230275
0.31,1.749518643366173
0.311,1.7275911461329088
0.312,1.7353302628034726
0.313,1.745649085030891
0.314,1.741779526695609
0.315,1.7546780544798821
0.316,1.7637070239288732
0.317,1.7688664350425825
0.318,1.7946634906111285
0.319,1.7869243739405647
0.32,1.7959533433895558
0.321,1.8165909878443927
0.322,1.8165909878443927
0.323,1.804982312838547
0.324,1.8062721656169742
0.325,1.7998229017248377
0.326,1.78434466838371
0.327,1.7869243739405647
0.328,1.7559679072583094
0.329,1.749518643366173
0.33,1.7520983489230275
0.331,1.7237215877976269
0.332,1.7391998211387545
0.333,1.7443592322524637
0.334,1.7404896739171818
0.335,1.749518643366173
0.336,1.7637070239288732
0.337,1.7611273183720186
0.338,1.7907939322758466
0.339,1.7959533433895558
0.34,1.7946634906111285
0.341,1.8088518711738288
0.342,1.8114315767306834
0.343,1.804982312838547
0.34400000000000003,1.8062721656169742
0.34500000000000003,1.7972431961679831
0.34600000000000003,1.7778954044915736
0.34700000000000003,1.788214226718992
0.34800000000000003,1.758547612815164
0.34900000000000003,1.749518643366173
0.35000000000000003,1.7546780544798821
0.35100000000000003,1.7340404100250453
0.352,1.7340404100250453
0.353,1.7443592322524637
0.354,1.7430693794740364
0.355,1.7598374655935913
0.356,1.7701562878210098
0.357,1.7688664350425825
0.358,1.7933736378327012
0.359,1.7933736378327012
0.36,1.7946634906111285
0.361,1.8088518711738288
0.362,1.814011282287538
0.363,1.8024026072816923
0.364,1.804982312838547
0.365,1.7998229017248377
0.366,1.7830548156052828
0.367,1.7804751100484282
0.368,1.749518643366173
0.369,1.7469389378093183
0.37,1.7533882017014548
0.371,1.7391998211387545
0.372,1.7366201155818999
0.373,1.7379099683603272
0.374,1.7443592322524637
0.375,1.7598374655935913
0.376,1.7688664350425825
0.377,1.7637070239288732
